Time: 0 ns | Next Addr: xx | Current Addr: xx
Time: 1120 ns | Next Addr: 05 | Current Addr: 05
Time: 1130 ns | Next Addr: 06 | Current Addr: 05
Time: 1140 ns | Next Addr: 06 | Current Addr: 06
Time: 1150 ns | Next Addr: 07 | Current Addr: 06
Time: 1160 ns | Next Addr: 07 | Current Addr: 07
Time: 1170 ns | Next Addr: 08 | Current Addr: 07
Time: 1180 ns | Next Addr: 08 | Current Addr: 08
Time: 1190 ns | Next Addr: 09 | Current Addr: 08
Time: 1200 ns | Next Addr: 09 | Current Addr: 09
Time: 1210 ns | Next Addr: 0a | Current Addr: 09
Time: 1220 ns | Next Addr: 0a | Current Addr: 0a
Time: 1230 ns | Next Addr: 07 | Current Addr: 0a
Time: 1240 ns | Next Addr: 07 | Current Addr: 07
Time: 1250 ns | Next Addr: 08 | Current Addr: 07
Time: 1260 ns | Next Addr: 08 | Current Addr: 08
Time: 1270 ns | Next Addr: 09 | Current Addr: 08
Time: 1280 ns | Next Addr: 09 | Current Addr: 09
Time: 1290 ns | Next Addr: 0a | Current Addr: 09
Time: 1300 ns | Next Addr: 0a | Current Addr: 0a
Time: 1310 ns | Next Addr: 07 | Current Addr: 0a
Time: 1320 ns | Next Addr: 07 | Current Addr: 07
Time: 1330 ns | Next Addr: 08 | Current Addr: 07
Time: 1340 ns | Next Addr: 08 | Current Addr: 08
Time: 1350 ns | Next Addr: 09 | Current Addr: 08
Time: 1360 ns | Next Addr: 09 | Current Addr: 09
Time: 1370 ns | Next Addr: 0a | Current Addr: 09
Time: 1380 ns | Next Addr: 0a | Current Addr: 0a
Time: 1390 ns | Next Addr: 07 | Current Addr: 0a
Time: 1400 ns | Next Addr: 07 | Current Addr: 07
Time: 1410 ns | Next Addr: 0b | Current Addr: 07
Time: 1420 ns | Next Addr: 0b | Current Addr: 0b
Time: 1430 ns | Next Addr: 0c | Current Addr: 0b
Time: 1440 ns | Next Addr: 0c | Current Addr: 0c
Time: 1450 ns | Next Addr: 0d | Current Addr: 0c
Time: 1460 ns | Next Addr: 0d | Current Addr: 0d
Time: 1470 ns | Next Addr: 04 | Current Addr: 0d
Time: 1480 ns | Next Addr: 04 | Current Addr: 04
Time: 1490 ns | Next Addr: 05 | Current Addr: 04
Time: 1500 ns | Next Addr: 05 | Current Addr: 05
Time: 1510 ns | Next Addr: 06 | Current Addr: 05
Time: 1520 ns | Next Addr: 06 | Current Addr: 06
Time: 1530 ns | Next Addr: 07 | Current Addr: 06
Time: 1540 ns | Next Addr: 07 | Current Addr: 07
Time: 1550 ns | Next Addr: 08 | Current Addr: 07
Time: 1560 ns | Next Addr: 08 | Current Addr: 08
Time: 1570 ns | Next Addr: 09 | Current Addr: 08
Time: 1580 ns | Next Addr: 09 | Current Addr: 09
Time: 1590 ns | Next Addr: 0a | Current Addr: 09
Time: 1600 ns | Next Addr: 0a | Current Addr: 0a
Time: 1610 ns | Next Addr: 07 | Current Addr: 0a
Time: 1620 ns | Next Addr: 07 | Current Addr: 07
Time: 1630 ns | Next Addr: 08 | Current Addr: 07
Time: 1640 ns | Next Addr: 08 | Current Addr: 08
Time: 1650 ns | Next Addr: 09 | Current Addr: 08
Time: 1660 ns | Next Addr: 09 | Current Addr: 09
Time: 1670 ns | Next Addr: 0a | Current Addr: 09
Time: 1680 ns | Next Addr: 0a | Current Addr: 0a
Time: 1690 ns | Next Addr: 07 | Current Addr: 0a
Time: 1700 ns | Next Addr: 07 | Current Addr: 07
Time: 1710 ns | Next Addr: 0b | Current Addr: 07
Time: 1720 ns | Next Addr: 0b | Current Addr: 0b
Time: 1730 ns | Next Addr: 0c | Current Addr: 0b
Time: 1740 ns | Next Addr: 0c | Current Addr: 0c
Time: 1750 ns | Next Addr: 0d | Current Addr: 0c
Time: 1760 ns | Next Addr: 0d | Current Addr: 0d
Time: 1770 ns | Next Addr: 04 | Current Addr: 0d
Time: 1780 ns | Next Addr: 04 | Current Addr: 04
Time: 1790 ns | Next Addr: 05 | Current Addr: 04
Time: 1800 ns | Next Addr: 05 | Current Addr: 05
Time: 1810 ns | Next Addr: 06 | Current Addr: 05
Time: 1820 ns | Next Addr: 06 | Current Addr: 06
Time: 1830 ns | Next Addr: 07 | Current Addr: 06
Time: 1840 ns | Next Addr: 07 | Current Addr: 07
Time: 1850 ns | Next Addr: 08 | Current Addr: 07
Time: 1860 ns | Next Addr: 08 | Current Addr: 08
Time: 1870 ns | Next Addr: 09 | Current Addr: 08
Time: 1880 ns | Next Addr: 09 | Current Addr: 09
Time: 1890 ns | Next Addr: 0a | Current Addr: 09
Time: 1900 ns | Next Addr: 0a | Current Addr: 0a
Time: 1910 ns | Next Addr: 07 | Current Addr: 0a
Time: 1920 ns | Next Addr: 07 | Current Addr: 07
Time: 1930 ns | Next Addr: 0b | Current Addr: 07
Time: 1940 ns | Next Addr: 0b | Current Addr: 0b
Time: 1950 ns | Next Addr: 0c | Current Addr: 0b
Time: 1960 ns | Next Addr: 0c | Current Addr: 0c
Time: 1970 ns | Next Addr: 0d | Current Addr: 0c
Time: 1980 ns | Next Addr: 0d | Current Addr: 0d
Time: 1990 ns | Next Addr: 04 | Current Addr: 0d
Time: 2000 ns | Next Addr: 04 | Current Addr: 04
Time: 2010 ns | Next Addr: 0e | Current Addr: 04
Time: 2020 ns | Next Addr: 0e | Current Addr: 0e
Time: 2030 ns | Next Addr: 0f | Current Addr: 0e
Time: 2040 ns | Next Addr: 0f | Current Addr: 0f
Time: 2050 ns | Next Addr: 10 | Current Addr: 0f
Time: 2060 ns | Next Addr: 10 | Current Addr: 10
Time: 2070 ns | Next Addr: 11 | Current Addr: 10
